FeatureID	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c
PF08455.13	3	5	5	9	1	35	4	9	9	4	9	7	7	19	18
PF00176.26	10	7	5	10	4	36	16	83	110	48	160	160	29	171	140
PF00271.34	25	33	73	46	44	110	124	244	319	296	540	847	245	533	491
PF01565.26	8	8	6	9	4	5	16	13	16	8	15	13	13	9	8
PF04030.17	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
PF08447.15	13	21	17	11	8	27	58	47	50	20	23	45	72	47	50
PF00015.24	96	129	98	86	35	148	456	286	269	192	74	282	431	196	188
PF08448.13	7	12	10	7	6	12	40	20	36	19	21	23	39	42	36
PF00512.28	71	88	98	93	59	138	433	628	752	479	781	1413	650	800	853
PF02518.29	115	183	169	156	102	223	671	861	1055	686	1069	1834	986	1113	1125
PF01025.22	0	3	6	0	6	4	10	8	13	12	16	12	21	9	13
PF00012.23	64	95	78	75	77	106	240	164	138	144	146	149	100	133	113
PF06100.14	0	0	1	0	2	1	5	13	10	15	9	40	9	18	30
PF00359.25	6	12	8	3	3	25	15	7	4	13	8	13	19	11	11
PF02302.20	3	13	10	5	34	32	26	16	13	17	10	15	29	10	13
PF02378.21	42	30	51	28	52	56	169	48	37	84	30	49	755	52	34
PF04167.16	0	0	0	1	1	0	7	2	0	2	0	1	15	2	0
PF00521.23	12	8	18	12	7	14	49	53	77	69	55	121	61	100	76
PF03989.16	60	48	95	58	42	84	270	186	314	302	236	502	275	361	342
PF01544.21	0	0	1	1	2	2	10	3	7	2	11	7	4	11	11
PF00471.23	2	2	1	1	0	3	14	4	2	5	5	4	8	2	8
PF00122.23	12	8	15	15	31	21	51	75	90	60	110	149	79	111	127
PF00702.29	12	9	15	16	30	21	58	73	94	63	106	150	82	102	128
PF10543.12	0	1	1	0	0	0	6	1	2	3	4	9	6	2	0
PF10552.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00692.22	2	1	1	1	3	1	5	8	9	12	7	17	10	9	17
PF06605.14	0	0	0	0	0	0	0	8	9	2	22	11	4	1	4
PF18013.4	0	0	0	0	1	2	0	1	9	2	2	9	2	11	3
PF01551.25	2	3	12	11	5	15	19	101	124	78	167	227	94	130	114
PF01521.23	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0
PF08282.15	3	1	16	4	11	13	40	42	41	17	36	53	32	31	29
PF01219.22	0	0	0	0	1	0	3	2	0	1	1	2	3	1	0
PF00654.23	0	0	1	1	1	0	9	1	8	6	15	27	12	15	17
PF17767.4	2	4	2	1	3	3	8	16	20	6	11	25	26	26	21
PF04095.19	2	4	2	1	3	3	8	18	17	5	8	34	25	24	22
PF17956.4	2	4	2	1	3	3	8	14	19	6	7	22	25	24	16
PF00583.28	6	13	7	7	7	13	87	85	113	86	140	204	88	115	101
PF00005.30	351	527	390	409	234	489	2244	1108	1376	1122	1298	2381	3134	1486	1618
PF02687.24	63	95	184	284	69	209	331	754	917	718	1292	1957	3181	1237	1217
PF12704.10	9	17	20	14	16	16	55	96	130	109	196	275	80	177	174
PF08245.15	6	6	16	15	7	12	56	60	80	40	69	133	78	107	80
PF08353.13	2	2	1	3	3	0	1	0	2	7	0	2	10	2	1
PF13328.9	6	14	7	10	7	12	17	30	48	25	45	79	52	63	48
PF04607.20	14	22	8	15	9	17	73	38	67	38	47	94	121	69	66
PF02824.24	8	15	9	20	15	20	36	60	73	35	65	113	66	92	71
PF19296.2	5	13	5	8	5	9	10	15	28	19	14	42	45	36	34
PF13291.9	6	13	6	10	7	10	17	29	47	24	45	78	50	60	47
PF13460.9	0	0	0	0	2	0	0	0	0	0	1	1	3	3	1
PF13520.9	0	1	0	0	4	6	9	2	2	13	12	17	38	14	7
PF00580.24	7	9	11	14	7	23	28	57	77	50	60	115	34	88	78
PF13361.9	7	10	11	13	7	18	39	60	107	68	70	141	54	130	115
PF00890.27	24	18	14	16	8	23	12	21	45	40	50	64	34	54	43
PF00056.26	6	6	18	10	6	22	34	13	29	26	19	21	36	17	8
PF02866.21	6	6	18	10	6	22	34	13	29	26	18	20	36	17	8
PF00478.28	7	17	21	11	8	13	29	19	28	24	20	35	39	32	32
PF00588.22	2	2	7	2	2	4	13	17	22	18	24	33	12	16	12
PF01288.23	1	0	0	0	0	0	1	4	0	0	3	6	0	5	3
PF01227.25	0	0	0	1	1	1	5	3	8	2	2	11	5	7	4
PF00528.25	83	95	87	108	35	127	1160	340	370	292	263	632	3672	506	462
PF01594.19	0	1	4	3	5	2	30	27	30	10	17	38	70	27	27
PF02776.21	5	1	11	3	4	8	27	36	34	40	33	83	41	41	52
PF00205.25	5	1	11	3	3	8	26	33	30	40	28	73	40	39	49
PF02775.24	149	185	179	167	73	317	1853	269	364	254	212	222	714	174	177
PF07517.17	7	20	13	19	5	25	25	39	59	49	53	99	42	83	57
PF01043.23	7	20	11	18	5	25	25	39	59	49	53	99	42	83	56
PF07516.16	7	20	12	19	5	25	24	39	59	49	54	97	38	79	57
PF02810.18	10	24	12	20	6	32	38	52	82	63	70	144	55	85	64
PF00665.29	8	13	12	3	25	15	73	136	163	243	282	467	195	258	378
PF13333.9	0	1	4	0	10	5	19	44	55	106	63	183	35	52	28
PF00872.21	2	5	11	7	12	5	42	51	115	44	180	136	68	118	64
PF05524.16	13	31	21	9	24	46	58	21	16	25	13	19	54	28	21
PF00391.26	163	255	172	187	105	293	1391	204	243	308	153	146	1147	159	139
PF02896.21	164	256	173	186	104	292	1387	200	241	276	149	132	1136	149	133
PF00977.24	1	1	4	2	3	8	11	19	13	10	6	13	25	14	14
PF00180.23	0	4	6	3	6	8	22	27	24	15	19	25	23	27	23
PF00330.23	7	9	9	12	8	15	50	24	37	28	21	34	84	55	36
PF01195.22	0	0	1	0	1	0	2	4	4	1	3	6	1	7	5
PF01751.25	6	12	18	27	14	23	52	182	201	165	278	399	91	221	190
PF01131.23	2	9	5	16	11	13	19	150	161	125	248	337	50	203	171
PF01396.22	1	5	1	13	5	9	29	35	35	26	55	43	28	42	40
PF13495.9	3	0	1	2	1	0	6	17	9	16	9	36	19	12	15
PF00589.25	89	97	79	50	44	96	262	450	656	649	1035	1583	384	727	742
PF07690.19	5	6	13	14	20	11	80	58	65	78	93	210	488	103	83
PF00664.26	7	13	15	18	19	23	167	177	203	150	209	402	195	250	305
PF04079.19	1	1	1	0	1	1	3	0	7	0	4	6	3	3	3
PF12850.10	1	1	3	1	1	3	15	4	14	4	3	15	10	20	11
PF14691.9	16	24	30	22	7	21	53	40	50	61	35	57	61	71	52
PF07992.17	79	86	111	66	42	126	132	83	94	147	94	128	128	129	108
PF00310.24	1	0	2	3	2	1	82	33	52	20	29	88	20	48	50
PF04898.17	1	0	2	3	2	1	59	31	41	19	20	75	12	44	45
PF01645.20	1	0	3	4	2	3	88	45	53	19	25	86	17	54	47
PF01493.22	1	0	2	3	3	1	74	34	43	19	25	77	13	46	46
